Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
7,0.0048974731884032,0.000839045398761909,0.0238282785385402,32.1549774239037,-105.98240423827,-0.00119649460773985,-0.0049688268532537,0.000618982163428764,-73.1222442456027
7.2,0.00491614927502577,0.000642377065201837,0.0237221040722528,-11.4577951585585,-112.108093337945,0.00224002362552866,-0.00495794031173791,-0.00113889011417659,-95.8355444753018
7.4,0.00485818852250629,0.000439360768311788,0.0229620967623382,-51.4993213864065,-113.01722343853,0.00523334789272667,-0.00487801531327743,-0.00241428549692195,-114.497651417738
7.6,0.00473567321256892,0.000239150165185535,0.02169594145839,-81.9357367472365,-109.164816518586,0.00722789116515798,-0.00474170787492995,-0.00303405108582697,-126.890759994408
7.8,0.00457030556066808,4.90140993498514e-05,0.0201577586617653,-98.3197461802185,-102.144911722724,0.0079300400199287,-0.00457056835039349,-0.0032047646532546,-133.90684348082
8,0.00438978929932198,-0.000127375979568342,0.0186104460575423,-98.5600617875951,-94.2833935838091,0.00734170072119866,-0.00439163686259934,-0.00308405867620214,-136.270433986156
8.2,0.00422317235555915,-0.0002907668705461,0.0172920609365066,-83.2833684742764,-88.0711172887293,0.00569172563140796,-0.00423317014147754,-0.00269039875227302,-133.399537379835
8.4,0.00409595810715814,-0.000446073938587146,0.0163820195065428,-55.7243802922457,-85.5611861617666,0.00331748889411898,-0.00412017654374176,-0.00186155062121908,-123.07543631087
8.6,0.00402583390466047,-0.000601115357342143,0.015990173478165,-21.1635683880597,-87.8616383973925,0.000565242872710314,-0.00407046415181668,-0.000358353335163651,-103.543063278798
8.8,0.00401975566643903,-0.000764606765143983,0.016159892254302,13.987395530952,-94.8350901387603,-0.00224689262117472,-0.00409182828859264,0.00134295899790983,-81.6098343559919
9,0.00407288633554881,-0.000943857655210115,0.0168722859942982,43.2901250292662,-105.074011706345,-0.00480821924243457,-0.00418082171206636,0.00242419026438611,-67.6085103929863
9.2,0.00416955752336335,-0.00114268399027458,0.018044172156552,61.378674362066,-116.162891544503,-0.00678338603673723,-0.00432330152370274,0.00295824533352719,-62.1487201586554
9.4,0.00428606716140474,-0.0013600170035182,0.0195231849314885,64.8604541277177,-125.178137146382,-0.00782327533256932,-0.00449666742277622,0.00317937603639499,-62.6092832696364
9.6,0.00439480564558758,-0.00158955164478057,0.0210917338361333,52.8629841689245,-129.325418558775,-0.007642656717195,-0.00467343458168341,0.00313423809100597,-67.7672478659967
