Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s]
102,6378238.79478548,-246.013867792549,489.723570648993,1.05544707008849,-9.76861444333552,-4.77252508426167
103,6378238.74509413,-256.416783122506,484.935881136189,1.14281296975053,-8.71642677603806,-6.75702267428668
104,6378239.57859139,-264.933706462195,477.979768004856,1.01046615080221,-7.51996563919649,-8.53637783641255
105,6378240.37254304,-274.91322816537,468.511449842837,0.920283859957651,-6.68020429526822,-10.1464574458118
106,6378242.38663601,-277.440810027691,456.959529564465,0.828015986892792,-5.60018319578016,-11.7467274511769
107,6378244.3393826,-283.376288921968,446.124179432243,1.14994808516422,-4.7040363898319,-12.6438258260314
108,6378243.94336637,-289.602737256476,429.72079233896,0.815503167952938,-3.46502621187597,-13.2817648366432
109,6378243.51312112,-287.998149189084,416.309607519979,1.13554653855046,-2.80301267709947,-13.9146466221366
110,6378248.40091473,-295.128790238352,404.529158129903,0.893665315886768,-2.27395521042571,-13.9738999767387
111,6378247.90992968,-294.775732122245,389.373183178981,1.04474278056881,-1.73139208678448,-13.8478819918068
112,6378248.37645293,-297.048056931953,376.173306518425,1.03367557496956,-1.96519134743192,-13.0881051742631
113,6378249.76643587,-297.54836767806,362.680468648593,1.10473906818733,-2.05835385655897,-12.354245048456
114,6378252.0878798,-302.911050929679,352.725377985606,0.96063590294632,-2.51863891535074,-11.2310128716417
115,6378253.82863263,-303.727536790899,340.913758276655,1.04625477518622,-3.70075523012499,-10.1243185054023
116,6378252.12757286,-312.58784698685,332.376286498704,0.929225598592546,-4.02092840776237,-8.83140603100089
117,6378253.6456316,-316.085323312216,324.276155042536,0.860162364418867,-5.07581510569774,-7.43131554879146
118,6378253.48427893,-318.307739874495,314.886979940664,1.00636312054239,-6.68814207962346,-6.09442362480334
119,6378256.4480162,-330.692252036,312.937579049937,0.830800037832721,-7.77405684357646,-4.93451173655913
120,6378257.87446518,-337.504479606067,307.848013261009,1.02887002336721,-9.22908548112835,-3.70286388617312
121,6378257.68291262,-345.376375080579,303.582385140665,1.05370418023618,-10.5528199579479,-2.94500350529085
122,6378259.25307431,-356.525916809404,301.190243995611,1.0089048740425,-11.7325248071697,-2.25474014380685
123,6378259.10056876,-365.720967950845,298.615925981353,0.895898917459051,-13.0065855916818,-1.91123742434365
124,6378259.85250898,-381.261107855639,299.38327396162,0.974516974132112,-13.5873847480298,-1.99420674491229
125,6378262.84502382,-397.33557961203,296.430509817568,1.02417361582744,-13.7734184007934,-1.86105026742711
126,6378263.68789046,-411.230502293417,292.175199760697,1.05844289843822,-13.9684980391964,-2.38135033310488
127,6378264.90738016,-419.849333184789,290.357925663983,1.0056509460627,-13.5556528486884,-3.02537308237416
128,6378266.045024,-436.204562054078,287.63923513067,0.999304955642475,-13.0803655505722,-3.8107213496806
129,6378265.68957791,-450.391414778407,282.424075643804,0.954739220612624,-12.4261064747205,-4.67546174072981
130,6378266.64238789,-463.418009192913,275.915960001051,1.03116877578276,-10.7686528878542,-5.76627604813708
131,6378268.89714685,-469.893995054703,270.557031835644,1.14856173968971,-9.46046512782461,-7.08978428636937
132,6378270.244056,-484.330574959391,262.796080798303,0.889261893523562,-7.86590681162841,-8.2249206797871
133,6378270.56502209,-483.477095276091,254.876409638066,1.00466449737279,-6.11809628471876,-9.3935054042336
134,6378274.91304865,-490.286826438245,243.855824369146,1.00147814924641,-4.10976863900305,-10.3736115949186
135,6378271.33783532,-493.447485729698,235.312705910153,0.786541261195062,-2.07718130619394,-11.0705873419563
136,6378271.02845862,-492.57425414643,222.68462096719,1.26350803389245,-0.1061604128254,-12.0018742146567
137,6378270.78153235,-492.92866763619,208.879397979982,0.979476662121805,1.64849520224065,-12.3807959443456
138,6378276.2679238,-494.35452155478,197.801192154902,0.998432462337059,3.16147779320485,-12.8816169443108
139,6378276.91119223,-487.245414062337,183.54879926601,0.909524338308001,4.59561103655664,-12.9488155715002
140,6378276.53994195,-484.897998598456,172.330674584219,1.0895575944865,5.64597514373053,-12.9965305845008
141,6378278.16498973,-480.112312363626,157.503632978191,1.11742955421822,6.26840173399549,-12.6550437025947
142,6378281.05537963,-475.859157301721,146.121499319298,1.07440678082201,6.34733872405816,-12.4798495262078
