Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
855.34,0.752638444,-1.74298563,-9.68666903,0.0186190131,0.00340916044,-0.19815722
855.36,0.683943876,-2.05425851,-9.72092796,0.0186401901,0.00332379396,-0.198475584
855.38,0.514447989,-2.39943647,-9.56761819,0.0187314139,0.00328419378,-0.198906795
855.4,0.451645015,-2.61557024,-9.62990114,0.0189486297,0.00320867388,-0.198791977
855.42,0.635480723,-2.01002427,-9.74068544,0.0191066997,0.00313358481,-0.199592636
855.44,0.555651356,-2.08078953,-9.61010721,0.0188837331,0.00330866383,-0.19980994
855.46,0.709820943,-2.27101326,-9.55158995,0.0189984098,0.002939196,-0.200166778
855.48,0.592107164,-2.03167347,-9.77260868,0.0188594832,0.00271725001,-0.199937486
855.5,0.743728168,-2.36302518,-9.6165495,0.0188922394,0.00303234883,-0.200273177
855.52,0.751469504,-1.8712304,-9.66846246,0.0190568172,0.00313713762,-0.200992217
855.54,0.705934885,-2.41802729,-9.68606219,0.0185562985,0.00250109344,-0.200950341
855.56,0.856361493,-2.16954381,-9.6619106,0.0193372038,0.0027336582,-0.200698319
855.58,0.633806122,-2.33075807,-9.64887217,0.0190341876,0.00251841112,-0.201278243
855.6,0.749251283,-2.26672411,-9.7048564,0.0191108047,0.00282835978,-0.200988192
855.62,0.70214512,-2.01526608,-9.71656672,0.0190072874,0.00252456072,-0.20148018
855.64,0.845860106,-2.12970403,-9.69149912,0.0189985254,0.00270023446,-0.201173374
855.66,0.855893566,-2.51776768,-9.4238298,0.0190857821,0.00262642279,-0.201397592
855.68,0.701052108,-2.28914672,-9.74120798,0.0193903399,0.00240401737,-0.201228102
855.7,0.825835442,-2.64894128,-9.68001522,0.0190587619,0.0023129915,-0.201697712
855.72,0.709593187,-1.86463852,-9.63484985,0.0191212214,0.00281288448,-0.202561132
855.74,0.729292278,-2.41069228,-9.81813133,0.0189841868,0.00212471931,-0.202448034
855.76,0.754202616,-2.12503761,-9.67300235,0.0191432057,0.00251914842,-0.202380273
855.78,0.890125352,-2.57706928,-9.56332231,0.0187647137,0.00219461896,-0.202264134
855.8,0.882844397,-2.05643826,-9.56981422,0.0191241219,0.00218015634,-0.202180633
855.82,0.868828419,-2.06020126,-9.6835014,0.0189007619,0.00193746113,-0.202050939
855.84,0.729736595,-2.20766511,-9.60209334,0.0194210024,0.00235240848,-0.202764043
855.86,0.912944024,-2.21196419,-9.74327731,0.0191626822,0.00216566168,-0.202651555
855.88,0.746729395,-2.10280804,-9.81005975,0.0192367349,0.00210712975,-0.203092643
855.9,0.789647558,-2.13498611,-9.55485199,0.0194752919,0.00201243203,-0.202205108
855.92,0.936098352,-2.54810061,-9.83207063,0.0190501574,0.00194974145,-0.203648969
855.94,0.752539374,-1.88371019,-9.82085895,0.0192111806,0.00198928664,-0.202605674
855.96,0.73533023,-2.26716668,-9.55132705,0.0193746811,0.00180912387,-0.203158094
855.98,0.984522246,-2.08407654,-9.85959354,0.0193092637,0.00150907319,-0.202419518
856,0.840316088,-2.02008581,-9.6298165,0.0193077916,0.00173527773,-0.202682226
856.02,0.78126896,-2.13729364,-9.71023364,0.0189954172,0.0019819885,-0.2032362
856.04,0.936584968,-2.28167478,-9.55228071,0.0194450634,0.00135199568,-0.203085997
856.06,0.763665694,-2.22015649,-9.78683081,0.0192339707,0.00154766456,-0.203617493
856.08,0.927777311,-2.33647609,-9.54675734,0.01913998,0.00144316645,-0.202712124
856.1,0.887169995,-2.47861499,-9.47782497,0.0193286558,0.00130504235,-0.202853134
856.12,0.827330947,-2.56195842,-9.61435535,0.0193975396,0.0014928168,-0.202840183
856.14,0.820912606,-2.17113683,-9.64987155,0.0190555262,0.00126082202,-0.204000876
856.16,0.900546368,-2.40054497,-9.73108249,0.0191994744,0.00136308246,-0.202177287
856.18,0.867172019,-2.25807544,-9.64355823,0.0192995885,0.0012206301,-0.202355988
856.2,0.9780842,-1.8420985,-9.80113236,0.0192403387,0.0012069551,-0.202815006
856.22,0.781297927,-2.24071267,-9.73006728,0.019365706,0.000652242524,-0.202974688
856.24,0.661732124,-2.19364312,-9.84003588,0.0192811229,0.000700050277,-0.202362179
856.26,1.09021825,-1.96438963,-9.69464761,0.0189899207,0.000950358818,-0.203241258
856.28,1.03821348,-2.28652561,-9.66241322,0.0193119316,0.0011153504,-0.202527374
856.3,0.772467496,-2.37604671,-9.59866274,0.0193394715,0.000740733303,-0.20246985
856.32,1.0110275,-2.30409651,-9.52805469,0.0195579233,0.000690998541,-0.203012626
856.34,0.830996758,-2.2523708,-9.4740841,0.0192637995,0.000750145226,-0.202370097
