Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
44,6378181,337.209605034911,407.910360524391,0.999999992888113,-13.3260956229965,0.492782901717339,-0.00477332323783119,4.28566313006244,-87.8825209510671
45,6378182,323.613832062076,407.804629785981,0.999999992888113,-13.8197691205207,-0.66485187604032,-0.00469601413002757,4.13086999203131,-92.7545609460303
46,6378183,309.661638455454,406.667388855579,0.999999992888114,-14.0391469247494,-1.56263886862963,-0.00461126782220831,4.04616884719648,-96.3514486857335
47,6378184,295.624624977921,404.779429978349,0.999999992888114,-13.9916584427008,-2.16060963275166,-0.00452248421628838,4.03713374618908,-98.778575919824
48,6378185,281.760998379275,402.455432685153,0.999999992888114,-13.6964903022327,-2.43125991282013,-0.00443322465364236,4.10865513363505,-100.065933910523
49,6378186,268.30441648748,400.03068758679,0.999999992888113,-13.183297864705,-2.36107738596201,-0.00434707032999028,4.26708671379728,-100.154036146614
50,6378187,255.454359901346,397.84659340713,0.999999992888113,-12.4904546852654,-1.95145625269614,-0.00426747942887609,4.51994419241494,-98.8801182859065
51,6378188,243.368446544358,396.235569191793,0.999999992888114,-11.6629346070783,-1.21894598045179,-0.00419764844060342,4.87168554813412,-95.9668631855186
52,6378189,232.157002210157,395.5060613035,0.999999992888114,-10.7499371775115,-0.194811899386666,-0.00414038557552317,5.31155907519967,-91.038537641188
53,6378190,221.880083857585,395.928331271636,0.999999992888114,-9.80237746266909,1.07608284971678,-0.00409799788607154,5.7888005732337,-83.7356669695672
54,6378191,212.54702865307,397.721685134302,0.999999992888114,-8.87036567490801,2.5370327957399,-0.004072199045213,6.18522433548958,-74.0392560341377
55,6378192,204.118476755041,401.043748427351,0.999999992888112,-8.0008001781867,4.12181168332186,-0.00406404129712439,6.3401398053881,-62.7440628419459
56,6378193,196.51069571954,405.982305739328,0.999999992888113,-7.23518956290099,5.75746159141022,-0.00407387281208868,6.17344864798229,-51.4891208678822
57,6378194,189.601924996694,412.550113440254,0.999999992888116,-6.60780604275228,7.3674283139695,-0.00410132394614257,5.77151460124771,-41.8891358630464
58,6378195,183.240365508295,420.682963693203,0.999999992888112,-6.14425414632386,8.87490429909843,-0.00414532119895341,5.29507526055752,-34.6958707164186
59,6378196,177.253366127803,430.241133046975,0.999999992888112,-5.8605165112528,10.2062293333268,-0.00420413072144093,4.85922050956646,-29.8651450774364
60,6378197,171.457309354355,441.014196381218,0.999999992888116,-5.76251367695717,11.2941949041432,-0.00427542632354243,4.51235148541397,-27.0317930707756
61,6378198,165.667674705697,452.729033741372,0.999999992888112,-5.84618837545273,12.0811010279779,-0.00435638310562058,4.26418657391911,-25.8231243080427
62,6378199,159.70876117573,465.060710755717,0.999999992888114,-6.09809826373397,12.5214242133908,-0.00444378914618554,4.10999023877835,-25.9669160621902
63,6378200,153.422579006716,477.645779720962,0.999999992888061,-6.49647564662112,12.5839717298506,-0.00453417416795226,4.04225989981864,-27.3052722355031
64,6378201,146.67647421777,490.097434357615,0.999999992888075,-7.01268975876834,12.2534197483767,-0.00462394766240937,4.05471250185996,-29.7829460785377
